84957,er
80709,in
79942,es
64978,ti
59396,on
55511,te
52982,at
50499,re
50163,an
50015,is
48921,al
48238,en
45265,ri
44161,ra
44057,st
43057,li
42321,le
42267,ne
42028,ic
41309,ng
39775,ar
39443,ed
39173,ro
37070,nt
35701,or
33855,se
33439,ing
32166,it
31754,un
30776,la
30599,co
28808,io
28187,ni
28122,de
27721,ss
27714,ca
26685,to
26313,ta
25636,tr
25557,ch
24914,ia
24511,el
24492,ma
24430,he
24423,no
24367,di
24188,me
24157,lo
23809,ou
23474,as
23209,ll
23184,ol
22965,et
22952,mi
22874,si
22857,us
22438,na
22204,ns
22093,ph
22088,ac
21854,pe
21753,ly
21604,ve
21408,ie
21137,om
20857,th
20537,ho
20440,il
20270,ess
19960,os
19926,ati
19855,op
19360,hi
19203,ion
18908,ea
18893,nd
18502,rs
18206,ce
18110,ha
18055,pr
17931,nes
17893,ter
17698,ur
17242,id
17090,ul
16550,ec
16530,nc
16320,ot
16091,po
15947,em
15853,tio
15793,pa
15735,ab
15662,mo
15182,ge
14733,sh
14660,ci
14620,bl
14525,am
13900,ent
13790,ate
13739,og
13654,oc
13216,ap
13187,pi
12970,su
12949,ers
12721,ct
12580,bi
12226,sa
12124,sc
12083,ad
11947,ut
11783,ist
11650,ous
11511,be
11294,tic
11213,ba
11198,gi
11191,ts
11137,iz
11121,ies
11082,so
10916,um
10816,sp
10779,cr
10772,do
10740,ep
10724,ag
10661,rt
10499,im
10458,ica
10369,ant
10308,da
10289,ine
10170,ke
10129,oo
10081,per
10002,iv
9925,hy
9852,sm
9751,ee
9742,ses
9721,ga
9650,od
9502,ali
9493,gr
9459,ir
9324,tin
9317,cal
9293,eri
9286,cu
9283,ck
9243,ble
9201,bo
9200,all
9114,tu
9101,ver
9053,pl
8964,ig
8963,fi
8874,non
8843,ip
8806,ai
8764,mp
8641,vi
8607,ons
8584,ry
8292,ze
8289,ty
8277,lu
8158,ov
8109,rm
8014,lin
7897,tra
7872,res
7850,pre
7701,abl
7663,con
7657,iti
7650,br
7647,tt
7582,nti
7574,est
7541,ru
7521,ene
7511,ob
7431,if
7425,nte
7296,qu
7243,rd
7220,tri
7218,sti
7173,ted
7145,rc
7120,oni
7086,rr
7081,oi
7056,au
7047,men
7036,ae
6984,rat
6894,fo
6893,ise
6852,lit
6818,pro
6775,sse
6765,ite
6726,ive
6716,gl
6714,rin
6684,ism
6665,eo
6613,up
6607,fe
6557,ub
6554,ove
6552,ki
6551,ste
6514,ari
6503,tor
6503,oph
6469,cl
6459,ize
6437,les
6428,wa
6410,dr
6385,ex
6379,pho
6351,lat
6323,the
6294,va
6261,der
6258,go
6152,ow
6074,era
6069,lis
6035,ili
5988,bu
5980,ran
